t=2025-11-12T15:24:15+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-12T15:24:15+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Sidney\\AppData\\Local/ngrok/ngrok.yml
t=2025-11-12T15:24:15+0100 lvl=info msg="open config file" path=C:\\Users\\Sidney\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-11-12T15:24:15+0100 lvl=eror msg="unable to evaluate ngrok agent binary path for symlinks" obj=tunnels.session err="The system cannot find the path specified."
t=2025-11-12T15:24:15+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-12T15:24:15+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-12T15:24:15+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-12T15:36:06+0100 lvl=info msg="join connections" obj=join id=64d7cf9c1480 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:07+0100 lvl=info msg="join connections" obj=join id=c5fea6be948e l=[::1]:3000 r=78.113.30.26:56956
t=2025-11-12T15:36:07+0100 lvl=info msg="join connections" obj=join id=efadb0a1a2c5 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:36:08+0100 lvl=info msg="join connections" obj=join id=826deb81e74a l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:14+0100 lvl=info msg="join connections" obj=join id=aeebcb89964f l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=50e94b7e454c l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=99779f69fe3b l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=67986ed6836c l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=bac3c28cfef3 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=21422ba71ec7 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=eca842de2adf l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=ee4bc035f814 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:15+0100 lvl=info msg="join connections" obj=join id=08fda0d6120b l=[::1]:3000 r=78.113.30.26:17668
t=2025-11-12T15:37:16+0100 lvl=info msg="join connections" obj=join id=e06442f1193a l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:37:16+0100 lvl=info msg="join connections" obj=join id=3ab173da90d5 l=[::1]:3000 r=78.113.30.26:59670
